route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
777,5,777,,Plymouth - Express - NW Plymouth - Station 73,3,https://www.metrotransit.org/route/777,,000000,268
781,4,781,,Maple Grove - Express - Maple Grove Station,3,https://www.metrotransit.org/route/781,,000000,270
785,4,785,,Maple Grove - Express - Parkway Station,3,https://www.metrotransit.org/route/785,,000000,272
789,4,789,,Maple Grove - Express - Maple Grove Sta - U of M,3,https://www.metrotransit.org/route/789,,000000,273
790,5,790,,Plymouth - Express - Cub Foods - Four Seasons,3,https://www.metrotransit.org/route/790,,000000,275
795,5,795,,Plymouth - Express - Midday - Northeast Plymouth,3,https://www.metrotransit.org/route/795,,000000,277
801,2,801,,Brooklyn Ctr - Columbia Heights - Rosedale,3,https://www.metrotransit.org/route/801,,000000,279
804,2,804,,Silver Lake Village - Old Hwy 8 - Co Rd H P&R,3,https://www.metrotransit.org/route/804,,,281
805,2,805,,Anoka - Coon Rapids - Northtown,3,https://www.metrotransit.org/route/805,,000000,283
824,0,824,,Ltd Stop - Northtown - Monroe - University - Mpls,3,https://www.metrotransit.org/route/824,,000000,285
831,2,831,,117th Av - Polk - Northtown,3,https://www.metrotransit.org/route/831,,000000,287
850,0,850,,Express - Riverdale P&R - Foley P&R - Mpls,3,https://www.metrotransit.org/route/850,,000000,289
852,0,852,,Express - Anoka - Coon Rapids - Northtown - Mpls,3,https://www.metrotransit.org/route/852,,000000,291
